,Checking Account,Duration,Credit History,Purpose,Credit Amount,Saving Account,Employment Status,Installment Rate,Personal Status,Guarantors,Years in current address,Property,Age,Installment plans,Housing,Existing Credits,Job,Liable,Risk
213,rich,30,delay,business,1908,little,>= 7 years,4,male   : single,none,4,real estate,66,none,own,1,management/highly qualified employee,1,bad
214,No Account,36,default,radio/television,3342,unknown,>= 7 years,4,male   : single,none,2,car,51,none,own,1,skilled employee,1,good
215,moderate,6,default,retraining,932,unknown,4 to <7 years,1,female : divorced/separated/married,none,3,life insurance,39,none,own,2,unskilled/resident,1,good
216,little,18,paid back,business,3104,little,4 to <7 years,3,male   : single,none,1,life insurance,31,bank,own,1,skilled employee,1,good
217,rich,36,paid back,radio/television,3913,little,1 to <4 years,2,male   : single,none,2,real estate,23,none,own,1,skilled employee,1,good
218,little,24,paid back,furniture/equipment,3021,little,1 to <4 years,2,male   : divorced/separated,none,2,real estate,24,none,rent,1,unskilled/resident,1,good
219,No Account,10,paid back,car,1364,little,1 to <4 years,2,female : divorced/separated/married,none,4,car,64,none,own,1,skilled employee,1,good
220,moderate,12,paid back,radio/television,625,little,< 1 year,4,male   : married/widowed,guarantor,1,real estate,26,bank,own,1,unskilled/resident,1,good
221,little,12,paid back,education,1200,unknown,1 to <4 years,4,female : divorced/separated/married,none,4,life insurance,23,bank,rent,1,skilled employee,1,good
222,No Account,12,paid back,radio/television,707,little,1 to <4 years,4,male   : single,none,2,real estate,30,bank,own,2,skilled employee,1,good
223,No Account,24,delay,business,2978,unknown,1 to <4 years,4,male   : single,none,4,real estate,32,none,own,2,skilled employee,2,good
224,No Account,15,paid back,car,4657,little,1 to <4 years,3,male   : single,none,2,car,30,none,own,1,skilled employee,1,good
225,No Account,36,paid back,repairs,2613,little,1 to <4 years,4,male   : single,none,2,car,27,none,own,2,skilled employee,1,good
226,moderate,48,paid back,radio/television,10961,rich,4 to <7 years,1,male   : single,co-applicant,2,no property,27,bank,own,2,skilled employee,1,bad
227,little,12,paid back,furniture/equipment,7865,little,>= 7 years,4,male   : single,none,4,no property,53,none,for free,1,management/highly qualified employee,1,bad
228,No Account,9,paid back,radio/television,1478,little,4 to <7 years,4,male   : single,none,2,car,22,none,own,1,skilled employee,1,bad
229,little,24,paid back,furniture/equipment,3149,little,< 1 year,4,male   : single,none,1,no property,22,bank,for free,1,skilled employee,1,good
230,rich,36,paid back,radio/television,4210,little,1 to <4 years,4,male   : single,none,2,car,26,none,own,1,skilled employee,1,bad
231,No Account,9,paid back,car,2507,quite rich,>= 7 years,2,male   : single,none,4,no property,51,none,for free,1,unskilled/resident,1,good
232,No Account,12,paid back,radio/television,2141,moderate,4 to <7 years,3,male   : single,none,1,no property,35,none,own,1,skilled employee,1,good
233,moderate,18,paid back,radio/television,866,little,1 to <4 years,4,male   : married/widowed,guarantor,2,real estate,25,none,own,1,unskilled/resident,1,good
234,No Account,4,default,radio/television,1544,little,4 to <7 years,2,male   : single,none,1,real estate,42,none,own,3,unskilled/resident,2,good
235,little,24,paid back,radio/television,1823,little,unemployed,4,male   : single,none,2,car,30,stores,own,1,management/highly qualified employee,2,bad
236,moderate,6,paid back,car,14555,unknown,unemployed,1,male   : single,none,2,life insurance,23,none,own,1,unemployed/non-resident,1,bad
237,moderate,21,paid back,business,2767,moderate,>= 7 years,4,male   : divorced/separated,none,2,car,61,bank,rent,2,unskilled/resident,1,bad
238,No Account,12,default,radio/television,1291,little,1 to <4 years,4,female : divorced/separated/married,none,2,life insurance,35,none,own,2,skilled employee,1,good
239,little,30,paid back,radio/television,2522,little,>= 7 years,1,male   : single,guarantor,3,life insurance,39,none,own,1,skilled employee,2,good
240,little,24,paid back,car,915,unknown,>= 7 years,4,female : divorced/separated/married,none,2,car,29,bank,own,1,skilled employee,1,bad
241,No Account,6,paid back,radio/television,1595,little,4 to <7 years,3,male   : single,none,2,life insurance,51,none,own,1,skilled employee,2,good
242,little,48,paid back,car,4605,little,>= 7 years,3,male   : single,none,4,no property,24,none,for free,2,skilled employee,2,bad
243,No Account,12,default,business,1185,little,1 to <4 years,3,female : divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee,1,good
244,No Account,12,paid back,retraining,3447,quite rich,1 to <4 years,4,female : divorced/separated/married,none,3,real estate,35,none,own,1,unskilled/resident,2,good
245,No Account,24,paid back,business,1258,little,4 to <7 years,4,male   : single,none,1,real estate,25,none,own,1,skilled employee,1,good
246,No Account,12,default,radio/television,717,little,>= 7 years,4,male   : single,none,4,real estate,52,none,own,3,skilled employee,1,good
247,No Account,6,paid back,car,1204,moderate,1 to <4 years,4,male   : single,none,1,no property,35,bank,rent,1,skilled employee,1,good
248,rich,24,paid back,furniture/equipment,1925,little,1 to <4 years,2,male   : single,none,2,real estate,26,none,own,1,skilled employee,1,good
249,No Account,18,paid back,radio/television,433,little,unemployed,3,female : divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee,1,bad
250,little,6,default,car,666,rich,4 to <7 years,3,female : divorced/separated/married,none,4,real estate,39,none,own,2,unskilled/resident,1,good
251,rich,12,paid back,furniture/equipment,2251,little,1 to <4 years,1,female : divorced/separated/married,none,2,car,46,none,own,1,unskilled/resident,1,good
252,moderate,30,paid back,car,2150,little,1 to <4 years,4,female : divorced/separated/married,guarantor,2,no property,24,bank,own,1,skilled employee,1,bad
253,No Account,24,delay,furniture/equipment,4151,moderate,1 to <4 years,2,male   : single,none,3,life insurance,35,none,own,2,skilled employee,1,good
254,moderate,9,paid back,furniture/equipment,2030,unknown,4 to <7 years,2,male   : single,none,1,car,24,none,own,1,skilled employee,1,good
255,moderate,60,delay,radio/television,7418,unknown,1 to <4 years,1,male   : single,none,1,real estate,27,none,own,1,unskilled/resident,1,good
256,No Account,24,default,radio/television,2684,little,1 to <4 years,4,male   : single,none,2,real estate,35,none,own,2,unskilled/resident,1,good
257,little,12,paid back,radio/television,2149,little,1 to <4 years,4,male   : divorced/separated,none,1,no property,29,none,for free,1,skilled employee,1,bad
258,No Account,15,paid back,car,3812,moderate,< 1 year,1,female : divorced/separated/married,none,4,car,23,none,own,1,skilled employee,1,good
259,No Account,11,default,radio/television,1154,moderate,unemployed,4,female : divorced/separated/married,none,4,real estate,57,none,own,3,unskilled/resident,1,good
260,little,12,paid back,furniture/equipment,1657,little,1 to <4 years,2,male   : single,none,2,real estate,27,none,own,1,skilled employee,1,good
261,little,24,paid back,radio/television,1603,little,>= 7 years,4,female : divorced/separated/married,none,4,car,55,none,own,1,skilled employee,1,good
262,little,18,default,car,5302,little,>= 7 years,2,male   : single,none,4,no property,36,none,for free,3,management/highly qualified employee,1,good
263,No Account,12,default,education,2748,little,>= 7 years,2,female : divorced/separated/married,none,4,no property,57,bank,for free,3,unskilled/resident,1,good
264,No Account,10,default,car,1231,little,>= 7 years,3,male   : single,none,4,real estate,32,none,own,2,unskilled/resident,2,good
265,moderate,15,paid back,radio/television,802,little,>= 7 years,4,male   : single,none,3,car,37,none,own,1,skilled employee,2,bad
266,No Account,36,default,business,6304,unknown,>= 7 years,4,male   : single,none,4,real estate,36,none,own,2,skilled employee,1,good
267,No Account,24,paid back,radio/television,1533,little,< 1 year,4,female : divorced/separated/married,none,3,car,38,stores,own,1,skilled employee,1,good
268,little,14,paid back,car,8978,little,>= 7 years,1,male   : divorced/separated,none,4,life insurance,45,none,own,1,management/highly qualified employee,1,bad
269,No Account,24,paid back,radio/television,999,unknown,>= 7 years,4,male   : single,none,2,car,25,none,own,2,skilled employee,1,good
270,No Account,18,paid back,car,2662,unknown,4 to <7 years,4,male   : single,none,3,life insurance,32,none,own,1,skilled employee,1,good
271,No Account,12,default,furniture/equipment,1402,quite rich,4 to <7 years,3,female : divorced/separated/married,none,4,car,37,none,rent,1,skilled employee,1,good
272,moderate,48,paid back,car,12169,unknown,unemployed,4,male   : single,co-applicant,4,no property,36,none,for free,1,management/highly qualified employee,1,good
273,moderate,48,paid back,radio/television,3060,little,4 to <7 years,4,male   : single,none,4,real estate,28,none,own,2,skilled employee,1,bad
274,little,30,paid back,repairs,11998,little,< 1 year,1,male   : divorced/separated,none,1,no property,34,none,own,1,unskilled/resident,1,bad
275,No Account,9,paid back,radio/television,2697,little,1 to <4 years,1,male   : single,none,2,real estate,32,none,own,1,skilled employee,2,good
276,No Account,18,default,radio/television,2404,little,1 to <4 years,2,female : divorced/separated/married,none,2,car,26,none,own,2,skilled employee,1,good
277,little,12,paid back,furniture/equipment,1262,unknown,>= 7 years,2,male   : divorced/separated,none,4,life insurance,49,none,own,1,unskilled/resident,1,good
278,No Account,6,paid back,furniture/equipment,4611,little,< 1 year,1,female : divorced/separated/married,none,4,life insurance,32,none,own,1,skilled employee,1,bad
279,No Account,24,paid back,radio/television,1901,moderate,1 to <4 years,4,male   : single,none,4,car,29,none,rent,1,management/highly qualified employee,1,good
280,No Account,15,default,car,3368,rich,>= 7 years,3,male   : single,none,4,no property,23,none,rent,2,skilled employee,1,good
281,No Account,12,paid back,furniture/equipment,1574,little,1 to <4 years,4,male   : single,none,2,real estate,50,none,own,1,skilled employee,1,good
282,rich,18,paid back,radio/television,1445,unknown,4 to <7 years,4,male   : single,none,4,car,49,bank,own,1,unskilled/resident,1,good
283,No Account,15,default,furniture/equipment,1520,unknown,>= 7 years,4,male   : single,none,4,life insurance,63,none,own,1,skilled employee,1,good
284,moderate,24,default,car,3878,moderate,< 1 year,4,male   : divorced/separated,none,2,car,37,none,own,1,skilled employee,1,good
285,little,47,paid back,car,10722,little,< 1 year,1,female : divorced/separated/married,none,1,real estate,35,none,own,1,unskilled/resident,1,good
286,little,48,paid back,car,4788,little,4 to <7 years,4,male   : single,none,3,life insurance,26,none,own,1,skilled employee,2,good
287,moderate,48,delay,others,7582,moderate,unemployed,2,male   : single,none,4,no property,31,none,for free,1,management/highly qualified employee,1,good
288,moderate,12,paid back,radio/television,1092,little,1 to <4 years,4,female : divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee,1,good
289,little,24,delay,radio/television,1024,little,< 1 year,4,male   : married/widowed,none,4,real estate,48,stores,own,1,skilled employee,1,bad
290,No Account,12,paid back,business,1076,little,1 to <4 years,2,male   : married/widowed,none,2,real estate,26,none,own,1,skilled employee,1,good
291,moderate,36,paid back,car,9398,little,< 1 year,1,male   : married/widowed,none,4,car,28,none,rent,1,management/highly qualified employee,1,bad
292,little,24,default,car,6419,little,>= 7 years,2,female : divorced/separated/married,none,4,no property,44,none,for free,2,management/highly qualified employee,2,good
293,rich,42,default,car,4796,little,>= 7 years,4,male   : single,none,4,no property,56,none,for free,1,skilled employee,1,good
294,No Account,48,default,business,7629,unknown,>= 7 years,4,male   : divorced/separated,none,2,car,46,bank,own,2,management/highly qualified employee,2,good
295,moderate,48,paid back,furniture/equipment,9960,little,< 1 year,1,female : divorced/separated/married,none,2,car,26,none,own,1,skilled employee,1,bad
296,No Account,12,paid back,car,4675,unknown,< 1 year,1,female : divorced/separated/married,none,4,car,20,none,rent,1,skilled employee,1,good
297,No Account,10,paid back,car,1287,unknown,>= 7 years,4,male   : single,co-applicant,2,life insurance,45,none,own,1,unskilled/resident,1,good
298,No Account,18,paid back,furniture/equipment,2515,little,1 to <4 years,3,male   : single,none,4,real estate,43,none,own,1,skilled employee,1,good
299,moderate,21,default,furniture/equipment,2745,rich,4 to <7 years,3,male   : single,none,2,car,32,none,own,2,skilled employee,1,good
300,No Account,6,paid back,car,672,little,unemployed,1,female : divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/non-resident,1,good
301,moderate,36,paid back,radio/television,3804,little,1 to <4 years,4,female : divorced/separated/married,none,1,car,42,none,own,1,skilled employee,1,bad
302,rich,24,default,car,1344,unknown,4 to <7 years,4,male   : single,none,2,real estate,37,bank,own,2,unskilled/resident,2,bad
303,little,10,default,car,1038,little,4 to <7 years,4,male   : single,co-applicant,3,life insurance,49,none,own,2,skilled employee,1,good
304,No Account,48,default,car,10127,quite rich,1 to <4 years,2,male   : single,none,2,no property,44,bank,for free,1,skilled employee,1,bad
305,No Account,6,paid back,furniture/equipment,1543,rich,1 to <4 years,4,male   : divorced/separated,none,2,real estate,33,none,own,1,skilled employee,1,good
306,No Account,30,paid back,car,4811,unknown,4 to <7 years,2,female : divorced/separated/married,none,4,life insurance,24,stores,rent,1,unskilled/resident,1,good
307,little,12,paid back,radio/television,727,moderate,< 1 year,4,male   : married/widowed,none,3,no property,33,none,own,1,unskilled/resident,1,bad
308,moderate,8,paid back,furniture/equipment,1237,little,1 to <4 years,3,female : divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee,1,bad
309,moderate,9,paid back,car,276,little,1 to <4 years,4,male   : married/widowed,none,4,real estate,22,none,rent,1,unskilled/resident,1,good
310,moderate,48,paid back,others,5381,unknown,unemployed,3,male   : single,none,4,no property,40,bank,for free,1,unemployed/non-resident,1,good
311,No Account,24,paid back,furniture/equipment,5511,moderate,1 to <4 years,4,male   : single,none,1,car,25,stores,own,1,skilled employee,1,good
312,rich,24,paid back,furniture/equipment,3749,little,< 1 year,2,female : divorced/separated/married,none,4,car,26,none,own,1,skilled employee,1,good
313,moderate,12,paid back,car,685,little,4 to <7 years,2,male   : married/widowed,none,3,car,25,bank,own,1,unskilled/resident,1,bad
314,rich,4,paid back,car,1494,unknown,< 1 year,1,male   : single,none,2,real estate,29,none,own,1,unskilled/resident,2,good
315,little,36,paid back,furniture/equipment,2746,little,>= 7 years,4,male   : single,none,4,car,31,bank,own,1,skilled employee,1,bad
316,little,12,paid back,furniture/equipment,708,little,1 to <4 years,2,male   : single,guarantor,3,life insurance,38,none,own,1,unskilled/resident,2,good
317,moderate,24,paid back,furniture/equipment,4351,unknown,1 to <4 years,1,female : divorced/separated/married,none,4,life insurance,48,none,own,1,unskilled/resident,1,good
318,No Account,12,default,education,701,little,1 to <4 years,4,male   : single,none,2,car,32,none,own,2,skilled employee,1,good
319,little,15,delay,furniture/equipment,3643,little,>= 7 years,1,female : divorced/separated/married,none,4,life insurance,27,none,own,2,unskilled/resident,1,good
320,moderate,30,default,car,4249,little,unemployed,4,male   : married/widowed,none,2,car,28,none,own,2,management/highly qualified employee,1,bad
321,little,24,paid back,radio/television,1938,little,< 1 year,4,male   : divorced/separated,none,3,life insurance,32,none,own,1,skilled employee,1,bad
322,little,24,paid back,car,2910,little,4 to <7 years,2,male   : single,none,1,no property,34,none,for free,1,management/highly qualified employee,1,good
323,little,18,paid back,furniture/equipment,2659,rich,1 to <4 years,4,male   : single,none,2,car,28,none,own,1,skilled employee,1,good
324,No Account,18,default,car,1028,little,1 to <4 years,4,female : divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee,1,good
325,little,8,default,car,3398,little,4 to <7 years,1,male   : single,none,4,real estate,39,none,own,2,unskilled/resident,1,good
326,No Account,12,default,furniture/equipment,5801,unknown,>= 7 years,2,male   : single,none,4,life insurance,49,none,rent,1,skilled employee,1,good
327,No Account,24,paid back,car,1525,rich,4 to <7 years,4,female : divorced/separated/married,none,3,car,34,none,own,1,skilled employee,2,good
328,rich,36,paid back,radio/television,4473,little,>= 7 years,4,male   : single,none,2,car,31,none,own,1,skilled employee,1,good
329,moderate,6,paid back,radio/television,1068,little,>= 7 years,4,male   : single,none,4,car,28,none,own,1,skilled employee,2,good
330,little,24,default,car,6615,little,unemployed,2,male   : single,none,4,no property,75,none,for free,2,management/highly qualified employee,1,good
331,No Account,18,default,education,1864,moderate,1 to <4 years,4,female : divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee,1,bad
332,moderate,60,paid back,car,7408,moderate,< 1 year,4,female : divorced/separated/married,none,2,life insurance,24,none,own,1,management/highly qualified employee,1,bad
333,No Account,48,default,car,11590,moderate,1 to <4 years,2,female : divorced/separated/married,none,4,car,24,bank,rent,2,unskilled/resident,1,bad
334,little,24,paid back,furniture/equipment,4110,little,>= 7 years,3,male   : single,none,4,no property,23,bank,rent,2,skilled employee,2,bad
335,little,6,default,furniture/equipment,3384,little,1 to <4 years,1,male   : divorced/separated,none,4,real estate,44,none,rent,1,management/highly qualified employee,1,bad
336,moderate,13,paid back,radio/television,2101,little,< 1 year,2,female : divorced/separated/married,guarantor,4,life insurance,23,none,own,1,unskilled/resident,1,good
337,little,15,paid back,domestic appliances,1275,unknown,1 to <4 years,4,female : divorced/separated/married,none,2,car,24,none,rent,1,skilled employee,1,bad
338,little,24,paid back,furniture/equipment,4169,little,1 to <4 years,4,male   : single,none,4,life insurance,28,none,own,1,skilled employee,1,good
339,moderate,10,paid back,furniture/equipment,1521,little,1 to <4 years,4,male   : divorced/separated,none,2,car,31,none,own,1,unskilled/resident,1,good
340,moderate,24,default,education,5743,little,< 1 year,2,female : divorced/separated/married,none,4,no property,24,none,for free,2,skilled employee,1,good
341,little,21,paid back,furniture/equipment,3599,little,4 to <7 years,1,female : divorced/separated/married,none,4,car,26,none,rent,1,unskilled/resident,1,good
342,moderate,18,paid back,radio/television,3213,quite rich,< 1 year,1,male   : married/widowed,none,3,real estate,25,none,rent,1,skilled employee,1,good
343,moderate,18,paid back,business,4439,little,>= 7 years,1,male   : single,co-applicant,1,real estate,33,bank,own,1,management/highly qualified employee,1,good
344,rich,10,paid back,car,3949,little,< 1 year,1,male   : single,guarantor,1,life insurance,37,none,own,1,unskilled/resident,2,good
345,No Account,15,default,radio/television,1459,little,1 to <4 years,4,female : divorced/separated/married,none,2,car,43,none,own,1,unskilled/resident,1,good
346,moderate,13,default,radio/television,882,little,< 1 year,4,male   : single,guarantor,4,real estate,23,none,own,2,skilled employee,1,good
347,moderate,24,paid back,radio/television,3758,quite rich,unemployed,1,female : divorced/separated/married,none,4,no property,23,none,rent,1,unemployed/non-resident,1,good
348,No Account,6,delay,business,1743,moderate,1 to <4 years,1,male   : single,none,2,real estate,34,none,own,2,unskilled/resident,1,good
349,moderate,9,default,education,1136,rich,>= 7 years,4,male   : single,none,3,no property,32,none,for free,2,skilled employee,2,bad
350,No Account,9,paid back,domestic appliances,1236,little,< 1 year,1,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee,1,good
351,moderate,9,paid back,furniture/equipment,959,little,1 to <4 years,1,female : divorced/separated/married,none,2,car,29,none,own,1,skilled employee,1,bad
352,No Account,18,default,car,3229,unknown,unemployed,2,male   : single,none,4,no property,38,none,own,1,management/highly qualified employee,1,good
353,little,12,paid back,radio/television,6199,little,1 to <4 years,4,male   : single,none,2,life insurance,28,none,rent,2,skilled employee,1,bad
354,No Account,10,paid back,education,727,quite rich,>= 7 years,4,male   : single,none,4,no property,46,none,for free,1,skilled employee,1,good
355,moderate,24,paid back,car,1246,little,< 1 year,4,male   : single,none,2,real estate,23,stores,own,1,unskilled/resident,1,bad
356,No Account,12,default,radio/television,2331,unknown,>= 7 years,1,male   : single,co-applicant,4,real estate,49,none,own,1,skilled employee,1,good
357,No Account,36,delay,radio/television,4463,little,1 to <4 years,4,male   : single,none,2,car,26,none,own,2,management/highly qualified employee,1,bad
358,No Account,12,paid back,radio/television,776,little,1 to <4 years,4,male   : married/widowed,none,2,real estate,28,none,own,1,skilled employee,1,good
359,little,30,paid back,furniture/equipment,2406,little,4 to <7 years,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee,1,bad
360,moderate,18,paid back,education,1239,unknown,1 to <4 years,4,male   : single,none,4,no property,61,none,for free,1,skilled employee,1,good
361,rich,12,paid back,radio/television,3399,unknown,>= 7 years,2,male   : single,none,3,car,37,none,own,1,management/highly qualified employee,1,good
362,rich,12,delay,car,2247,little,1 to <4 years,2,female : divorced/separated/married,none,2,car,36,stores,own,2,skilled employee,1,good
363,No Account,6,paid back,furniture/equipment,1766,little,1 to <4 years,1,male   : married/widowed,none,2,life insurance,21,none,rent,1,skilled employee,1,good
364,little,18,paid back,furniture/equipment,2473,little,unemployed,4,male   : single,none,1,car,25,none,own,1,unemployed/non-resident,1,bad
365,No Account,12,paid back,business,1542,little,4 to <7 years,2,male   : single,none,4,car,36,none,own,1,skilled employee,1,good
366,No Account,18,default,car,3850,little,4 to <7 years,3,male   : single,none,1,car,27,none,own,2,skilled employee,1,good
367,little,18,paid back,furniture/equipment,3650,little,< 1 year,1,female : divorced/separated/married,none,4,car,22,none,rent,1,skilled employee,1,good
368,little,36,paid back,furniture/equipment,3446,little,>= 7 years,4,male   : single,none,2,car,42,none,own,1,skilled employee,2,bad
369,moderate,18,paid back,furniture/equipment,3001,little,4 to <7 years,2,female : divorced/separated/married,none,4,real estate,40,none,rent,1,skilled employee,1,good
370,No Account,36,paid back,car,3079,unknown,1 to <4 years,4,male   : single,none,4,real estate,36,none,own,1,skilled employee,1,good
371,No Account,18,default,radio/television,6070,little,>= 7 years,3,male   : single,none,4,car,33,none,own,2,skilled employee,1,good
372,No Account,10,default,furniture/equipment,2146,little,< 1 year,1,female : divorced/separated/married,none,3,real estate,23,none,rent,2,skilled employee,1,good
373,No Account,60,default,car,13756,unknown,>= 7 years,2,male   : single,none,4,no property,63,bank,for free,1,management/highly qualified employee,1,good
374,moderate,60,paid back,others,14782,moderate,>= 7 years,3,female : divorced/separated/married,none,4,no property,60,bank,for free,2,management/highly qualified employee,1,bad
375,little,48,paid back,business,7685,little,4 to <7 years,2,female : divorced/separated/married,guarantor,4,car,37,none,rent,1,skilled employee,1,bad
376,No Account,18,delay,radio/television,2320,little,unemployed,2,male   : married/widowed,none,3,real estate,34,none,own,2,skilled employee,1,good
377,No Account,7,delay,radio/television,846,unknown,>= 7 years,3,male   : single,none,4,no property,36,none,for free,1,skilled employee,1,good
378,moderate,36,paid back,car,14318,little,>= 7 years,4,male   : single,none,2,no property,57,none,for free,1,management/highly qualified employee,1,bad
379,No Account,6,default,car,362,moderate,1 to <4 years,4,female : divorced/separated/married,none,4,car,52,none,own,2,unskilled/resident,1,good
380,little,20,paid back,furniture/equipment,2212,unknown,4 to <7 years,4,male   : single,none,4,car,39,none,own,1,skilled employee,1,good
381,moderate,18,paid back,car,12976,little,unemployed,3,female : divorced/separated/married,none,4,no property,38,none,for free,1,management/highly qualified employee,1,bad
382,No Account,22,paid back,car,1283,unknown,4 to <7 years,4,female : divorced/separated/married,none,4,life insurance,25,none,rent,1,skilled employee,1,good
383,rich,12,paid back,car,1330,little,< 1 year,4,male   : single,none,1,real estate,26,none,own,1,skilled employee,1,good
384,No Account,30,delay,business,4272,moderate,1 to <4 years,2,male   : single,none,2,life insurance,26,none,own,2,unskilled/resident,1,good
385,No Account,18,default,radio/television,2238,little,1 to <4 years,2,female : divorced/separated/married,none,1,car,25,none,own,2,skilled employee,1,good
386,No Account,18,paid back,radio/television,1126,unknown,< 1 year,4,female : divorced/separated/married,none,2,real estate,21,none,rent,1,skilled employee,1,good
387,moderate,18,default,furniture/equipment,7374,little,unemployed,4,male   : single,none,4,life insurance,40,stores,own,2,management/highly qualified employee,1,good
388,moderate,15,default,business,2326,quite rich,1 to <4 years,2,male   : single,none,4,car,27,bank,own,1,skilled employee,1,good
389,No Account,9,paid back,business,1449,little,4 to <7 years,3,female : divorced/separated/married,none,2,car,27,none,own,2,skilled employee,1,good
390,No Account,18,paid back,car,1820,little,1 to <4 years,2,male   : married/widowed,none,2,life insurance,30,none,own,1,management/highly qualified employee,1,good
391,moderate,12,paid back,furniture/equipment,983,rich,< 1 year,1,female : divorced/separated/married,none,4,real estate,19,none,rent,1,unskilled/resident,1,good
392,little,36,paid back,car,3249,little,4 to <7 years,2,male   : single,none,4,no property,39,bank,for free,1,management/highly qualified employee,2,good
393,little,6,default,radio/television,1957,little,4 to <7 years,1,female : divorced/separated/married,none,4,car,31,none,own,1,skilled employee,1,good
394,No Account,9,default,furniture/equipment,2406,little,unemployed,2,male   : single,none,3,car,31,none,own,1,management/highly qualified employee,1,good
395,moderate,39,delay,education,11760,moderate,4 to <7 years,2,male   : single,none,3,no property,32,none,rent,1,skilled employee,1,good
396,little,12,paid back,furniture/equipment,2578,little,unemployed,3,female : divorced/separated/married,none,4,no property,55,none,for free,1,management/highly qualified employee,1,good
397,little,36,default,furniture/equipment,2348,little,1 to <4 years,3,male   : married/widowed,none,2,life insurance,46,none,own,2,skilled employee,1,good
398,moderate,12,paid back,car,1223,little,>= 7 years,1,male   : divorced/separated,none,1,real estate,46,none,rent,2,skilled employee,1,bad
399,No Account,24,default,radio/television,1516,rich,1 to <4 years,4,female : divorced/separated/married,none,1,real estate,43,none,own,2,unskilled/resident,1,good
400,No Account,18,paid back,radio/television,1473,little,< 1 year,3,male   : married/widowed,none,4,real estate,39,none,own,1,skilled employee,1,good
401,moderate,18,default,business,1887,unknown,1 to <4 years,4,male   : married/widowed,none,4,real estate,28,bank,own,2,skilled employee,1,good
402,No Account,24,delay,business,8648,little,< 1 year,2,male   : single,none,2,car,27,bank,own,2,skilled employee,1,bad
403,No Account,14,delay,car,802,little,1 to <4 years,4,male   : single,none,2,car,27,none,own,2,unskilled/resident,1,good
404,moderate,18,delay,car,2899,unknown,>= 7 years,4,male   : single,none,4,car,43,none,own,1,skilled employee,2,good
405,moderate,24,paid back,radio/television,2039,little,< 1 year,1,male   : married/widowed,none,1,life insurance,22,none,own,1,skilled employee,1,bad
406,No Account,24,default,car,2197,unknown,4 to <7 years,4,male   : single,none,4,car,43,none,own,2,skilled employee,2,good
407,little,15,paid back,radio/television,1053,little,< 1 year,4,male   : married/widowed,none,2,real estate,27,none,own,1,skilled employee,1,good
408,No Account,24,paid back,radio/television,3235,quite rich,>= 7 years,3,male   : divorced/separated,none,2,car,26,none,own,1,management/highly qualified employee,1,good
409,rich,12,default,car,939,quite rich,4 to <7 years,4,male   : married/widowed,none,2,real estate,28,none,own,3,skilled employee,1,bad
410,moderate,24,paid back,radio/television,1967,little,>= 7 years,4,female : divorced/separated/married,none,4,car,20,none,own,1,skilled employee,1,good
411,No Account,33,default,car,7253,little,4 to <7 years,3,male   : single,none,2,car,35,none,own,2,management/highly qualified employee,1,good
412,No Account,12,default,business,2292,little,unemployed,4,male   : single,none,2,car,42,stores,own,2,management/highly qualified employee,1,bad
413,No Account,10,paid back,car,1597,quite rich,1 to <4 years,3,male   : single,none,2,no property,40,none,rent,1,unskilled/resident,2,good
414,little,24,paid back,car,1381,unknown,1 to <4 years,4,female : divorced/separated/married,none,2,life insurance,35,none,own,1,skilled employee,1,bad
415,No Account,36,default,car,5842,little,>= 7 years,2,male   : single,none,2,life insurance,35,none,own,2,skilled employee,2,good
416,little,12,paid back,car,2579,little,< 1 year,4,male   : single,none,1,real estate,33,none,own,1,unskilled/resident,2,bad
417,little,18,delay,education,8471,unknown,1 to <4 years,1,female : divorced/separated/married,none,2,car,23,none,rent,2,skilled employee,1,good
418,No Account,21,paid back,car,2782,quite rich,4 to <7 years,1,female : divorced/separated/married,none,2,car,31,bank,own,1,management/highly qualified employee,1,good
419,moderate,18,paid back,car,1042,unknown,1 to <4 years,4,female : divorced/separated/married,none,2,life insurance,33,none,own,1,skilled employee,1,bad
420,No Account,15,paid back,car,3186,rich,4 to <7 years,2,female : divorced/separated/married,none,3,car,20,none,rent,1,skilled employee,1,good
421,moderate,12,paid back,car,2028,unknown,1 to <4 years,4,male   : single,none,2,car,30,none,own,1,skilled employee,1,good
422,moderate,12,default,car,958,little,4 to <7 years,2,male   : single,none,3,real estate,47,none,own,2,unskilled/resident,2,good
423,No Account,21,delay,furniture/equipment,1591,moderate,4 to <7 years,4,male   : single,none,3,real estate,34,none,own,2,management/highly qualified employee,1,good
424,moderate,12,paid back,furniture/equipment,2762,unknown,>= 7 years,1,female : divorced/separated/married,none,2,life insurance,25,bank,own,1,skilled employee,1,bad
425,moderate,18,paid back,car,2779,little,1 to <4 years,1,male   : married/widowed,none,3,car,21,none,rent,1,skilled employee,1,good
